id,image_path,task_aux,transfer_count,difficulty,station_count,line_count,interchange_count
TR0001,train_images/TR0001.png,source=Forest;target=Delta,1,easy,10,3,2
TR0002,train_images/TR0002.png,source=Lagoon;target=Cedar,3,hard,57,8,7
TR0003,train_images/TR0003.png,source=Delta;target=Central,0,easy,7,2,1
TR0004,train_images/TR0004.png,source=River;target=Aster,3,medium,21,4,3
TR0005,train_images/TR0005.png,source=Park;target=Iris,1,medium,24,5,3
TR0006,train_images/TR0006.png,source=Grove;target=Terrace,1,medium,22,4,2
TR0007,train_images/TR0007.png,source=Aster1;target=York,1,hard,65,9,7
TR0008,train_images/TR0008.png,source=Grove;target=Beacon,1,easy,10,3,2
TR0009,train_images/TR0009.png,source=Park;target=Forest,1,medium,18,4,3
TR0010,train_images/TR0010.png,source=Delta;target=Yarrow,1,medium,28,5,4
TR0011,train_images/TR0011.png,source=Forest;target=Central,1,easy,7,2,1
TR0012,train_images/TR0012.png,source=Jade;target=Meadow,1,hard,47,6,4
TR0013,train_images/TR0013.png,source=Iris;target=Jade,1,medium,20,4,2
TR0014,train_images/TR0014.png,source=Maple;target=Zenith,1,medium,28,6,4
TR0015,train_images/TR0015.png,source=Brook;target=Park,3,medium,28,6,4
TR0016,train_images/TR0016.png,source=Grove;target=Terrace,1,medium,28,5,4
TR0017,train_images/TR0017.png,source=Park;target=Aurora,2,medium,30,6,4
TR0018,train_images/TR0018.png,source=Forest;target=Harbor,1,medium,21,4,3
TR0019,train_images/TR0019.png,source=Lagoon;target=Vale,2,medium,25,5,3
TR0020,train_images/TR0020.png,source=Park;target=Meadow,3,hard,54,7,6
TR0021,train_images/TR0021.png,source=Beacon;target=Grove,1,easy,7,2,1
TR0022,train_images/TR0022.png,source=River;target=Stone,2,hard,73,9,8
TR0023,train_images/TR0023.png,source=Jade;target=Park,1,medium,22,4,3
TR0024,train_images/TR0024.png,source=Grove;target=Quartz,2,medium,27,5,4
TR0025,train_images/TR0025.png,source=Beacon;target=Brook,2,medium,30,6,5
TR0026,train_images/TR0026.png,source=Harbor;target=Liberty,2,hard,71,9,7
TR0027,train_images/TR0027.png,source=Central;target=Delta,1,easy,14,4,3
TR0028,train_images/TR0028.png,source=Vale;target=Lagoon,0,medium,35,6,5
TR0029,train_images/TR0029.png,source=Forest;target=Union,2,medium,33,6,5
